Case	Rho
1	001cef41-ff86-4d3f-a140-a647ac4b10a1	0.892843370822261
2	0045349c-69d9-4306-a403-c9c1fa836644	0.899525274269266
3	00807dae-9f4a-4fd1-aac2-82eb11bf2afb	0.8885041493067
4	00a2d166-78c9-4687-a195-3d6315c27574	0.900877139088837
5	011b9b2d-ebe5-42bf-9662-d922faccc7a1	0.870540334481356
6	01263518-5f7c-49dc-8d7e-84b0c03a6a63	0.906681614840898
7	0130d616-885e-4a6c-9d03-2f17dd692a05	0.893017089395185
8	01674b2c-5cf2-478f-84a1-f69c39f47bd4	0.909525604930849
9	016caf42-4e19-4444-ab5d-6cf1e76c4afa	0.853386054050924
10	01eef340-598c-4205-a990-cec190ac2ca5	0.853640615019635
11	01f50abf-fc15-446e-9d07-edeecc545a32	0.914861691316564
12	02bbb632-0f7f-439d-b8f0-c86a06237424	0.827841378511208
13	02bed00f-bef7-4fb7-b243-540354990e45	0.887815649516772
14	02bf5203-f9cd-4c5a-97b4-e5584dc22325	0.850058021860262
15	02e6f999-24f2-4ad2-9b92-df3ee2b082e5	0.868669889572206
16	02f5ae33-a563-4ecb-9e33-dfa500a44931	0.915835677322237
17	03565036-b6d3-432f-8d9a-7099818e0788	0.9213584801437
18	035cb359-eac3-484a-9e88-3ddc739440a3	0.899601213979804
19	03ab1e9f-4918-404d-b178-3a4fd929c5e8	0.876171038934926
20	03c143e0-d8a1-4d60-a4a3-df0501fc6b6e	0.877289727660099
21	03da7a65-fa2f-42cb-a709-5fe8736f21d3	0.908312123835834
22	045c13ef-3db7-4adf-b0a3-23338f0479f3	0.884213895226791
23	0491063c-14a7-4104-8002-1459126332f3	0.905724680649443
24	04af44fc-c487-4005-b3cb-cb64815824a2	0.863801811596542
25	05135396-df5c-49db-b34e-f4add5b65a2b	0.883516583877395
26	05506f4c-e701-4a9d-ae06-97f066aade43	0.917661783064415
27	058dcb78-bed1-40c3-a6c2-a0cc40065531	0.868511848057348
28	0685edd2-ce1c-4e0e-8dda-393139af4223	0.898363651360606
29	0741b5db-4405-42ba-b63a-c6ee4f341480	0.85390113409762
30	074e8b06-3929-4896-9263-3b80ad6a355b	0.913424258448158
31	0772cdbe-8b0d-452b-8df1-bd70d1306363	0.913474030719713
32	0807435a-e75e-4e04-8e45-ed0cd49a841a	0.878616010202726
33	08306ede-e74b-4be9-b768-7fd98647b6ac	0.909273360114492
34	084c6aec-94f7-4090-8f3f-59fa9e89721a	0.851544747418579
35	08740d7f-5a5e-4dfa-bd48-7fbf228a7a28	0.881884263600973
36	08da7c4c-3067-4bcf-9d7a-78566df72e69	0.870244496375345
37	08de63a2-7b76-43c3-80dc-df748b1d81bc	0.894695500294633
38	095c7985-3842-494f-b591-706ad1cd2133	0.868170931707619
39	09765b0a-94f6-47d2-af56-93368084ac3a	0.895708689489855
40	09c2bc35-c21f-4aa4-ac30-0d8db02ad811	0.908875788346507
41	0a017f15-1c6b-45e7-8d55-e0a71df1b2e8	0.891458111787397
42	0a229f95-0ea1-4d63-953e-74f5ec2f3028	0.893089152225744
43	0b172e29-6166-4863-803d-a0a010887c11	0.83896393739186
44	0b23b5fe-6c7e-4297-bc55-f93fcb830ac4	0.908307140038206
45	0bc5744c-5fa3-45bb-87d0-70a02068b392	0.905431358908225
46	0bf6e772-1aa1-4f54-9a50-c1414e2f22f3	0.819088280208262
47	0c1023c0-d2ce-4940-8047-7642f1dc3965	0.842189086718867
48	0c23c380-363c-474d-b64c-b47f612a8225	0.911991223767786
49	0d03055c-186b-418a-b614-e2035757bc3b	0.875722577328006
50	0dc337fa-da8b-42c4-b9a7-fb76d81c161f	0.88119511697785
51	0dca98b0-f43e-45b6-9a02-00092c78678c	0.887662726871544
52	0ed9ad26-7fdc-4d75-93f9-d029eee94993	0.866263842151428
53	0f64edec-0f1f-4025-8a53-75f9534f7828	0.857256511826749
54	0f7ab21b-1fd0-45e0-9a47-17c4691eb84f	0.906751415715066
55	0fe1419e-a005-407c-8ae7-15c4c1579539	0.890916496761873
56	1026e0bf-5640-4fa5-b65f-4f11e8e76b18	0.874234045156777
57	10c9be1e-2cc0-45e4-8d2c-c013ea63ef05	0.848542631248175
58	1111fb30-46ce-4722-98da-ec9ba2323d90	0.872982006112043
59	1133b8a9-6b11-4511-b70a-f200e3b8b5db	0.84949353496491
60	115bc72c-116f-40c1-be9b-e3dd7650efae	0.869271626261627
61	1174f6e4-ffbe-4e59-a000-8d861c968369	0.886560871269132
62	125b0a9a-6cbe-4207-9178-e7ff03487e87	0.890138461508851
63	128d198e-9b22-427c-90db-3714455f3a17	0.881924436488987
64	12d31787-e54d-4729-ace8-9141043c92b8	0.932163757509997
65	13b860c3-8048-4dc9-9eb0-7480bc660837	0.892325576554862
66	13ca97a1-75bb-4a49-b8c3-181e5b2c9e86	0.854484470748973
67	1402082d-25c9-4148-8a1e-f58450b706bb	0.895377316502974
68	14267783-5624-4fe5-ba81-9d67f1017474	0.90116464251515
69	14b95463-2108-4921-afc2-e29eef52b18f	0.90367346257225
